212_1;Cluster_2;H80
213_1;Cluster_2;H76
214_2;Cluster_2;H81
215_1;Cluster_2;H76
216_2;Cluster_2;H77
217_2;Cluster_2;H82
218_1;Cluster_2;H16
219_1;Cluster_2;H77
220_2;Cluster_2;H76
221_1;Cluster_2;H76
222_2;Cluster_2;H76
223_2;Cluster_2;H80
224_1;Cluster_2;H76
225_1;Cluster_2;H76
226_2;Cluster_2;H76
227_2;Cluster_3;H83
228_1;Cluster_3;H83
229_1;Cluster_3;H84
230_2;Cluster_3;H83
231_1;Cluster_3;H83
232_2;Cluster_3;H83
233_2;Cluster_3;H83
235_1;Cluster_1;H85
236_1;Cluster_3;H83
237_1;Cluster_3;H83
238_2;Cluster_3;H83
240_1;Cluster_3;H86
241_1;Cluster_3;H86
242_1;Cluster_3;H83
243_1;Cluster_3;H83
244_2;Cluster_3;H83
245_1;Cluster_3;H83
246_1;Cluster_3;H83
247_2;Cluster_3;H83
248_2;Cluster_3;H86
249_2;Cluster_3;H83
250_2;Cluster_3;H83
251_2;Cluster_3;H86
252_2;Cluster_3;H83
253_1;Cluster_3;H83
254_2;Cluster_3;H83
255_1;Cluster_3;H83
256_1;Cluster_3;H86
257_2;Cluster_3;H87
258_1;Cluster_3;H88
259_1;Cluster_3;H66
260_2;Cluster_3;H87
261_2;Cluster_3;H89
262_1;Cluster_3;H90
263_2;Cluster_3;H88
264_2;Cluster_3;H83
265_1;Cluster_3;H66
266_1;Cluster_3;H90
267_1;Cluster_3;H89
268_1;Cluster_3;H90
269_1;Cluster_3;H89
270_1;Cluster_3;H89
271_2;Cluster_3;H88
272_2;Cluster_3;H91
273_2;Cluster_3;H87
274_1;Cluster_3;H89
276_1;Cluster_3;H92
277_6;Cluster_3;H90
278_1;Cluster_3;H90
279_1;Cluster_3;H87
280_2;Cluster_3;H66
281_1;Cluster_3;H90
282_2;Cluster_3;H87
283_1;Cluster_3;H87
284_2;Cluster_3;H93
285_1;Cluster_1;H94
286_2;Cluster_1;H95
287_2;Cluster_3;H96
288_2;Cluster_1;H97
289_2;Cluster_3;H96
290_2;Cluster_3;H98
291_2;Cluster_1;H99
