001_1;4735.5
002_2;4735.5
003_1;4735.5
004_2;4735.5
005_2;4735.5
006_2;4735.5
007_2;4735.5
008_1;4735.5
009_2;4735.5
010_1;4735.5
011_2;4735.5
012_1;4735.5
013_2;4735.5
014_2;4735.5
015_2;4735.5
016_2;4735.5
017_2;4735.5
018_1;4735.5
019_1;4735.5
020_1;4735.5
021_2;4735.5
022_2;4735.5
023_2;4735.5
024_1;4735.5
025_1;4735.5
026_2;4735.5
027_1;4735.5
028_1;4735.5
029_2;4735.5
030_1;4735.5
031_2;4158.2
032_1;4158.2
033_1;4158.2
034_2;4158.2
035_1;4158.2
037_2;4158.2
038_2;4158.2
039_2;4158.2
040_1;4158.2
041_2;4158.2
042_1;4158.2
043_2;4158.2
044_1;4158.2
045_1;4158.2
046_2;4158.2
047_2;4158.2
048_2;4158.2
049_1;4158.2
050_2;4158.2
051_1;4158.2
052_2;4158.2
053_2;4158.2
054_2;4158.2
055_1;4158.2
057_2;4158.2
058_2;4158.2
059_1;4158.2
060_1;4158.2
061_2;4447.8
062_2;4447.8
063_2;4447.8
064_2;4447.8
065_2;4447.8
066_1;4447.8
067_2;4447.8
068_1;4447.8
069_1;4447.8
070_1;4447.8
071_2;4447.8
072_1;4447.8
073_1;4447.8
074_2;4447.8
075_1;4447.8
076_2;4447.8
077_1;4447.8
078_1;4447.8
079_2;4447.8
080_2;4447.8
081_1;4447.8
082_1;4447.8
083_2;4447.8
084_1;4447.8
085_2;4653.1
086_1;4653.1
087_1;4653.1
088_1;4653.1
089_1;4653.1
090_1;4653.1
091_1;4653.1
092_2;4653.1
093_1;4653.1
094_2;4653.1
095_1;4653.1
096_2;4653.1
097_1;4653.1
098_1;4653.1
099_2;4653.1
100_1;4653.1
101_2;4653.1
102_1;4653.1
104_1;4653.1
105_1;4653.1
107_2;4653.1
108_1;4653.1
109_1;4653.1
110_1;4653.1
111_1;4653.1
112_2;4723.29
113_2;4723.29
114_1;4723.29
115_1;4723.29
118_1;4723.29
119_1;4723.29
120_2;4723.29
122_1;4723.29
123_2;4723.29
124_1;4723.29
125_1;4723.29
126_2;4723.29
127_2;4723.29
128_2;4723.29
129_1;4723.29
130_1;4723.29
131_1;4723.29
132_2;4723.29
133_1;4723.29
134_1;4723.29
135_2;4723.29
136_2;4723.29
137_1;4723.29
138_2;4723.29
139_1;4723.29
141_2;4723.29
142_2;4980.3
143_2;4980.3
144_2;4980.3
145_2;4980.3
146_1;4980.3
147_1;4980.3
148_2;4980.3
149_2;4980.3
150_1;4980.3
151_2;4980.3
152_2;4980.3
153_1;4980.3
154_1;4980.3
155_1;4980.3
156_2;4980.3
157_1;4980.3
158_1;4980.3
159_1;4980.3
160_2;4980.3
161_2;4980.3
162_2;4980.3
163_2;4980.3
164_2;4980.3
165_2;4980.3
166_2;4980.3
167_2;5057.9
168_1;5057.9
169_2;5057.9
170_2;5057.9
172_2;5057.9
173_1;5057.9
174_2;5057.9
175_2;5057.9
176_2;5057.9
177_1;5057.9
179_2;5057.9
180_2;5057.9
181_2;5057.9
182_1;5057.9
183_2;5057.9
184_1;5057.9
185_1;5057.9
187_2;5057.9
188_1;5057.9
189_2;5057.9
190_1;5057.9
191_1;5057.9
192_2;5057.9
193_2;5057.9
194_1;5057.9
195_2;5057.9
196_2;5057.9
197_2;4600
198_2;4600
199_1;4600
200_1;4600
201_2;4600
202_1;4600
203_1;4600
204_1;4600
205_1;4600
206_1;4600
207_1;4600
208_1;4600
209_1;4600
210_1;4600
211_2;4600
212_1;4600
213_1;4600
214_2;4600
215_1;4600
216_2;4600
217_2;4600
218_1;4600
219_1;4600
220_2;4600
221_1;4600
222_2;4600
223_2;4600
224_1;4600
225_1;4600
226_2;4600
227_2;4200
228_1;4200
229_1;4200
230_2;4200
231_1;4200
232_2;4200
233_2;4200
235_1;4200
236_1;4200
237_1;4200
238_2;4200
240_1;4200
241_1;4200
242_1;4200
243_1;4200
244_2;4200
245_1;4200
246_1;4200
247_2;4200
248_2;4200
249_2;4200
250_2;4200
251_2;4200
252_2;4200
253_1;4200
254_2;4200
255_1;4200
256_1;4200
257_2;4138.9
258_1;4138.9
259_1;4138.9
260_2;4138.9
261_2;4138.9
262_1;4138.9
263_2;4138.9
264_2;4138.9
265_1;4138.9
266_1;4138.9
267_1;4138.9
268_1;4138.9
269_1;4138.9
270_1;4138.9
271_2;4138.9
272_2;4138.9
273_2;4138.9
274_1;4138.9
276_1;4138.9
277_6;4138.9
278_1;4138.9
279_1;4138.9
280_2;4138.9
281_1;4138.9
282_2;4138.9
283_1;4138.9
284_2;4630
285_1;4630
286_2;4630
287_2;4630
288_2;4630
289_2;4630
290_2;4630
291_2;4630
292_1;4630
293_2;4630
294_1;4630
295_1;4630
296_2;4630
297_2;4630
298_2;4630
299_2;4630
300_2;4630
301_2;4630
302_1;4630
303_1;4630
304_2;4630
305_2;4630
306_1;4630
307_1;4630
308_2;4630
309_1;4630
310_2;4630
311_1;4630
312_1;4630
313_2;4630
314_2;3200
315_1;3200
316_2;3200
317_1;3200
318_2;3200
319_1;3200
320_2;3200
321_1;3200
322_2;3200
323_1;3200
324_2;3200
325_2;3200
326_2;3200
327_1;3200
328_2;3200
329_2;3200
330_1;3200
331_2;3200
332_2;3200
334_1;3200
335_2;3200
336_2;3200
337_2;3200
338_1;3200
340_1;3200
341_1;3200
342_2;3200
343_2;3200
344_1;4273
345_2;4273
346_1;4273
347_1;4273
348_1;4273
349_1;4273
350_2;4273
351_2;4273
352_2;4273
353_2;4273
354_1;4273
355_2;4273
356_1;4273
357_2;4273
358_2;4273
359_1;4273
360_1;4273
361_1;4273
363_1;4273
364_2;4273
365_1;4273
366_2;4273
367_2;4273
368_1;4273
369_2;4273
370_1;4273
371_2;4273
372_1;4273
373_1;4273
374_2;4582.2
376_1;4582.2
377_2;4582.2
378_1;4582.2
379_2;4582.2
380_2;4582.2
382_4;4582.2
383_2;4582.2
384_1;4582.2
385_2;4582.2
386_1;4582.2
387_2;4582.2
388_2;4582.2
389_2;4582.2
390_2;4582.2
391_2;4582.2
392_2;4582.2
393_1;4582.2
395_2;4582.2
396_1;4582.2
397_2;4582.2
398_1;4582.2
399_2;4582.2
400_2;4500
401_2;4500
402_1;4500
403_1;4500
404_2;4500
405_1;4500
406_1;4500
407_1;4500
408_1;4500
409_1;4500
410_2;4500
411_1;4500
414_2;4500
415_1;4500
416_1;4500
417_1;4460
418_1;4460
419_1;4460
420_2;4460
421_2;4460
422_1;4460
423_2;4460
424_2;4460
425_1;4460
426_2;4460
427_2;4460
428_1;4460
429_1;4460
431_2;4460
432_1;4460
434_1;4460
436_2;4460
437_1;4700
438_2;4700
439_1;4700
440_1;4700
441_1;4700
442_1;4700
443_1;4700
444_2;4700
445_1;4700
446_1;4700
448_1;4700
449_1;4700
450_1;4700
451_2;4700
452_1;4700
453_1;4700
454_1;5200
455_1;5200
456_1;5200
457_2;5200
458_2;5200
459_2;5200
460_1;5200
461_1;5200
462_2;5200
464_2;5200
465_1;5200
466_2;5200
467_1;5200
468_2;5200
469_1;5200
470_1;5200
471_1;5200
472_2;5200
473_2;5200
474_2;5200
475_1;5200
478_1;5200
479_1;5200
480_2;4560
482_2;4560
483_1;4560
484_2;4560
485_2;4560
486_2;4560
487_2;4560
488_1;4560
489_2;4560
490_2;4560
491_2;4560
492_1;4560
493_2;4560
495_2;4560
497_2;4560
498_2;4560
499_1;4560
500_1;4560
