sample,group,value
105_1,Cluster_2,4653.1
107_2,Cluster_2,4653.1
108_1,Cluster_2,4653.1
109_1,Cluster_2,4653.1
110_1,Cluster_2,4653.1
111_1,Cluster_2,4653.1
112_2,Cluster_2,4723.29
113_2,Cluster_4,4723.29
114_1,Cluster_4,4723.29
115_1,Cluster_4,4723.29
118_1,Cluster_4,4723.29
119_1,Cluster_4,4723.29
120_2,Cluster_4,4723.29
122_1,Cluster_4,4723.29
123_2,Cluster_4,4723.29
124_1,Cluster_4,4723.29
125_1,Cluster_4,4723.29
126_2,Cluster_4,4723.29
127_2,Cluster_4,4723.29
128_2,Cluster_4,4723.29
129_1,Cluster_4,4723.29
130_1,Cluster_4,4723.29
131_1,Cluster_4,4723.29
132_2,Cluster_4,4723.29
133_1,Cluster_4,4723.29
134_1,Cluster_4,4723.29
135_2,Cluster_4,4723.29
136_2,Cluster_4,4723.29
137_1,Cluster_4,4723.29
138_2,Cluster_2,4723.29
139_1,Cluster_2,4723.29
141_2,Cluster_4,4723.29
142_2,Cluster_2,4980.3
143_2,Cluster_2,4980.3
144_2,Cluster_2,4980.3
145_2,Cluster_2,4980.3
146_1,Cluster_2,4980.3
147_1,Cluster_2,4980.3
148_2,Cluster_2,4980.3
149_2,Cluster_2,4980.3
150_1,Cluster_2,4980.3
151_2,Cluster_2,4980.3
152_2,Cluster_2,4980.3
153_1,Cluster_2,4980.3
154_1,Cluster_2,4980.3
155_1,Cluster_2,4980.3
156_2,Cluster_2,4980.3
157_1,Cluster_2,4980.3
158_1,Cluster_2,4980.3
159_1,Cluster_2,4980.3
160_2,Cluster_2,4980.3
161_2,Cluster_2,4980.3
162_2,Cluster_2,4980.3
163_2,Cluster_2,4980.3
164_2,Cluster_2,4980.3
165_2,Cluster_2,4980.3
166_2,Cluster_2,4980.3
167_2,Cluster_1,5057.9
168_1,Cluster_1,5057.9
169_2,Cluster_1,5057.9
170_2,Cluster_1,5057.9
172_2,Cluster_3,5057.9
173_1,Cluster_1,5057.9
174_2,Cluster_3,5057.9
175_2,Cluster_1,5057.9
176_2,Cluster_3,5057.9
177_1,Cluster_3,5057.9
179_2,Cluster_3,5057.9
180_2,Cluster_3,5057.9
181_2,Cluster_3,5057.9
182_1,Cluster_3,5057.9
183_2,Cluster_3,5057.9
184_1,Cluster_1,5057.9
185_1,Cluster_1,5057.9
187_2,Cluster_1,5057.9
188_1,Cluster_1,5057.9
189_2,Cluster_1,5057.9
190_1,Cluster_1,5057.9
191_1,Cluster_1,5057.9
192_2,Cluster_1,5057.9
193_2,Cluster_1,5057.9
194_1,Cluster_3,5057.9
195_2,Cluster_1,5057.9
196_2,Cluster_3,5057.9
197_2,Cluster_2,4600
198_2,Cluster_2,4600
199_1,Cluster_2,4600
200_1,Cluster_2,4600
201_2,Cluster_2,4600
202_1,Cluster_2,4600
203_1,Cluster_2,4600
204_1,Cluster_2,4600
205_1,Cluster_2,4600
206_1,Cluster_2,4600
207_1,Cluster_2,4600
208_1,Cluster_2,4600
209_1,Cluster_2,4600
210_1,Cluster_2,4600
211_2,Cluster_2,4600
212_1,Cluster_2,4600
213_1,Cluster_2,4600
214_2,Cluster_2,4600
215_1,Cluster_2,4600
216_2,Cluster_2,4600
217_2,Cluster_2,4600
218_1,Cluster_2,4600
219_1,Cluster_2,4600
220_2,Cluster_2,4600
221_1,Cluster_2,4600
222_2,Cluster_2,4600
223_2,Cluster_2,4600
224_1,Cluster_2,4600
225_1,Cluster_2,4600
226_2,Cluster_2,4600
227_2,Cluster_3,4200
228_1,Cluster_3,4200
229_1,Cluster_3,4200
230_2,Cluster_3,4200
231_1,Cluster_3,4200
232_2,Cluster_3,4200
233_2,Cluster_3,4200
235_1,Cluster_1,4200
236_1,Cluster_3,4200
237_1,Cluster_3,4200
238_2,Cluster_3,4200
240_1,Cluster_3,4200
241_1,Cluster_3,4200
242_1,Cluster_3,4200
243_1,Cluster_3,4200
244_2,Cluster_3,4200
245_1,Cluster_3,4200
246_1,Cluster_3,4200
247_2,Cluster_3,4200
248_2,Cluster_3,4200
249_2,Cluster_3,4200
250_2,Cluster_3,4200
251_2,Cluster_3,4200
252_2,Cluster_3,4200
253_1,Cluster_3,4200
254_2,Cluster_3,4200
255_1,Cluster_3,4200
256_1,Cluster_3,4200
257_2,Cluster_3,4138.9
258_1,Cluster_3,4138.9
259_1,Cluster_3,4138.9
260_2,Cluster_3,4138.9
261_2,Cluster_3,4138.9
262_1,Cluster_3,4138.9
263_2,Cluster_3,4138.9
264_2,Cluster_3,4138.9
265_1,Cluster_3,4138.9
266_1,Cluster_3,4138.9
267_1,Cluster_3,4138.9
268_1,Cluster_3,4138.9
269_1,Cluster_3,4138.9
270_1,Cluster_3,4138.9
271_2,Cluster_3,4138.9
272_2,Cluster_3,4138.9
273_2,Cluster_3,4138.9
274_1,Cluster_3,4138.9
276_1,Cluster_3,4138.9
277_6,Cluster_3,4138.9
278_1,Cluster_3,4138.9
279_1,Cluster_3,4138.9
280_2,Cluster_3,4138.9
281_1,Cluster_3,4138.9
282_2,Cluster_3,4138.9
283_1,Cluster_3,4138.9
284_2,Cluster_3,4630
285_1,Cluster_1,4630
286_2,Cluster_1,4630
287_2,Cluster_3,4630
288_2,Cluster_1,4630
289_2,Cluster_3,4630
290_2,Cluster_3,4630
291_2,Cluster_1,4630
292_1,Cluster_1,4630
293_2,Cluster_1,4630
294_1,Cluster_3,4630
295_1,Cluster_3,4630
296_2,Cluster_3,4630
297_2,Cluster_3,4630
298_2,Cluster_3,4630
299_2,Cluster_3,4630
300_2,Cluster_3,4630
301_2,Cluster_1,4630
302_1,Cluster_1,4630
303_1,Cluster_3,4630
304_2,Cluster_3,4630
